|                MJD |     mag |   dmag | filt |      source | nondet |
| 57831.145399999805 | 12.2438 | 0.0046 |    g | Las Cumbres |  False |
|  57831.14690000005 | 12.2452 | 0.0046 |    g | Las Cumbres |  False |
|  57831.14859999996 | 12.3966 |  0.006 |    r | Las Cumbres |  False |
|  57831.14979999978 | 12.3953 | 0.0045 |    r | Las Cumbres |  False |
|   57831.1510999999 | 12.6071 | 0.0049 |    i | Las Cumbres |  False |
| 57831.152199999895 | 12.6072 | 0.0049 |    i | Las Cumbres |  False |
|  57833.10399999982 | 11.6963 | 0.0047 |    U | Las Cumbres |  False |
|  57833.34420000017 | 11.6976 | 0.0115 |    U | Las Cumbres |  False |
| 57833.346400000155 |   11.69 | 0.0115 |    U | Las Cumbres |  False |
|   57833.3487999998 |  12.108 | 0.0064 |    B | Las Cumbres |  False |
|  57833.34979999997 | 12.1185 | 0.0065 |    B | Las Cumbres |  False |
|  57833.35089999996 |  12.104 | 0.0076 |    V | Las Cumbres |  False |
|         57833.3517 |  12.108 | 0.0076 |    V | Las Cumbres |  False |
|  57833.35270000016 | 11.9813 | 0.0095 |    g | Las Cumbres |  False |
|  57833.35369999986 | 11.9798 | 0.0095 |    g | Las Cumbres |  False |
| 57833.354799999855 | 12.1277 | 0.0069 |    r | Las Cumbres |  False |
|  57833.35559999989 | 12.1204 |  0.007 |    r | Las Cumbres |  False |
|  57833.35660000006 | 12.3381 | 0.0083 |    i | Las Cumbres |  False |
| 57833.357400000095 | 12.3362 | 0.0101 |    i | Las Cumbres |  False |
| 57836.130799999926 | 11.3958 | 0.0088 |    U | Las Cumbres |  False |
| 57836.132999999914 |  11.403 | 0.0092 |    U | Las Cumbres |  False |
|  57836.13540000003 | 11.8504 | 0.0034 |    B | Las Cumbres |  False |
|  57836.13640000019 | 11.8533 | 0.0034 |    B | Las Cumbres |  False |
| 57836.137500000186 | 11.8487 | 0.0042 |    V | Las Cumbres |  False |
| 57836.138300000224 | 11.8434 |  0.005 |    V | Las Cumbres |  False |
|  57836.13929999992 | 11.7064 | 0.0039 |    g | Las Cumbres |  False |
|  57836.14030000009 | 11.7057 | 0.0046 |    g | Las Cumbres |  False |
|  57836.14140000008 |   11.87 | 0.0044 |    r | Las Cumbres |  False |
|  57836.14229999995 | 11.8654 | 0.0053 |    r | Las Cumbres |  False |
|  57836.14319999982 | 12.1378 | 0.0049 |    i | Las Cumbres |  False |
| 57836.143999999855 | 12.1408 | 0.0057 |    i | Las Cumbres |  False |
|  57838.87690000003 | 11.3287 | 0.0088 |    U | Las Cumbres |  False |
|  57838.87910000002 | 11.3225 | 0.0089 |    U | Las Cumbres |  False |
| 57838.881500000134 | 11.7212 |  0.004 |    B | Las Cumbres |  False |
|  57838.88249999983 | 11.7206 | 0.0033 |    B | Las Cumbres |  False |
|  57838.88359999983 |  11.709 | 0.0042 |    V | Las Cumbres |  False |
| 57838.884399999864 | 11.7159 | 0.0042 |    V | Las Cumbres |  False |
|  57838.88549999986 | 11.5705 | 0.0038 |    g | Las Cumbres |  False |
|  57838.88650000002 | 11.5729 | 0.0048 |    g | Las Cumbres |  False |
|  57838.88760000002 | 11.7451 | 0.0038 |    r | Las Cumbres |  False |
| 57838.888499999885 | 11.7425 | 0.0044 |    r | Las Cumbres |  False |
|  57838.88950000005 | 12.1421 | 0.0049 |    i | Las Cumbres |  False |
